,parameter,mean,std,median,5.0%,95.0%,n_eff,r_hat
25,alpha_25,0.08380241579672801,0.36170116414867914,0.18738948817811724,-0.7339330156412994,0.5500496312261821,3418.9494952070586,1.0020658503855764
26,alpha_26,-0.030596616109115588,0.4188377884447154,0.060175803256718424,-0.9579245987021808,0.4548583835521324,2633.29310174763,1.0110355134257802
27,alpha_27,-0.05743783206842834,0.40741785067680725,-0.02962683363895845,-0.6741492492072815,0.6361768730482682,73.75119973024603,1.0344887808528542
28,alpha_28,-0.15521056991259066,0.43114405372432263,-0.04746948690073814,-0.9571111655013256,0.36383027990381056,67.64524151646172,1.0376925701398454
29,alpha_29,-0.17458399560871193,0.4598017425928119,-0.07904060823820001,-1.0076102519854881,0.4114557393722496,29.32109788329746,1.0595250994684198
30,alpha_30,0.04615033529189965,0.3879479869548612,0.07197052171143901,-0.5252642223273891,0.679501461814828,20.819280979402627,1.081224471988515
31,alpha_31,0.15318043328622494,0.2927745335716988,0.18486942880603602,-0.17011097705410794,0.5536722813481469,24.747165576872586,1.0644403249487244
32,alpha_32,-0.14055498457160323,0.44695724208051796,-0.08302652298145131,-0.9931675510061525,0.5255493144338428,13.816189377146793,1.1162952420732695
33,alpha_33,0.21809551350133,0.37670625995929874,0.23094091726607366,-0.34820543828163764,0.8070378279084127,4279.949228450518,1.0010576626025427
34,alpha_34,0.40323611366455925,0.3681383201108764,0.4788107054932318,0.18220681547502096,0.7619123603430115,3805.1262421418096,1.0017063778230864
35,alpha_35,0.0513302796845371,0.44004862191214006,0.09599249544150187,-0.5687055208603534,0.8123380632317984,120.63383967398508,1.0265288601721732
36,alpha_36,-0.023852790240499952,0.34984594663940866,-0.02270901537788035,-0.5035443859003318,0.5929806835304752,29.335005188871907,1.0610296289265981
37,alpha_37,-0.1595043040007436,0.4162346207332881,-0.12313853312498561,-0.8296536129570384,0.5378529997135273,42.546605584706356,1.0454454495402277
38,alpha_38,0.20657960697643654,0.3086339165320121,0.26379842703344414,0.005349787432578221,0.5150825442925527,4418.1124886619355,0.9993249488692723
39,alpha_39,0.1935915671192687,0.2825700286394802,0.19304763742337022,-0.19397748900489076,0.6113752735887735,3668.767888339224,1.0013020311201606
40,alpha_40,0.2298529726455853,0.30568718973464204,0.2881779100159264,0.04494729482200879,0.5652548473882132,2792.2138081368753,1.0068522754976599
41,alpha_41,0.2854237597616097,0.3476511384392118,0.36351107103793734,0.07020541816260384,0.6280800753841932,73.78093431895921,1.0350522120911747
42,alpha_42,-0.05354405827272542,0.41478749602939874,0.04028004891734341,-0.9183449706800835,0.43192526401784437,142.2952388211014,1.0246418575620537
43,alpha_43,-0.010401885733174993,0.44384121298970214,0.02233131409307288,-0.6751466061993291,0.7498745872741467,25.50898889825649,1.0658330169502959
44,alpha_44,-0.12518382872307998,0.5008613100649824,-0.019787942745981148,-1.0185000376780364,0.531882945027296,8.20975425201037,1.207267651660197
45,alpha_45,-0.11325369093023636,0.40608573967665723,-0.0412096001736869,-0.9714867925908062,0.3928012650219478,52.48344518915423,1.0438726412427006
46,alpha_46,0.013040745619272799,0.47086359239626613,0.12128246614829394,-0.9844327983770508,0.565903364905546,194.55797280692607,1.021757564174608
47,alpha_47,0.14758261295863687,0.3990423569300057,0.2558091230244407,-0.5339467091233716,0.6778903663200162,370.3022296816516,1.0176192596328058
48,alpha_48,-0.05417581852448844,0.499642541170454,0.006223925862891736,-1.012327657332213,0.6555887733124947,11.005189431206468,1.1461223862739833
49,alpha_49,0.2993975561396787,0.2525390687472616,0.3353132899172109,0.10803994975750122,0.5831936867572687,2497.8338574026416,1.0090022303747441
50,alpha_50,0.11642199589832737,0.373556498489716,0.1281987171205488,-0.4696931072083653,0.7026752809142222,4328.041106607884,1.0001708150755577
51,alpha_51,-0.046290313482383466,0.4131117760558411,-0.0006125231793723432,-0.6828813394544594,0.6359631654780898,11.063004106002836,1.1445545770848529
52,alpha_52,0.11351575354832857,0.4188228357175113,0.13414890768250282,-0.5372516792667423,0.7712814162171342,49.51828962027067,1.040336512224937
53,alpha_53,0.07136634975217544,0.39265069373713407,0.0823274962896742,-0.5667566566633853,0.6857420479458692,4179.9195986979175,1.000941000959325
54,alpha_54,-0.185498492733803,0.4265808422842817,-0.10843401371183148,-0.9669812814891962,0.35936303417113197,29.155741093961336,1.0602229211970529
55,alpha_55,0.020828041901557234,0.4515092804034797,0.05820143402276465,-0.6238498495339619,0.8156939397256148,19.042885115428813,1.083045258095924
56,alpha_56,-0.23647650875624432,0.4423940642841495,-0.13237768137459,-0.9771479695083891,0.34098822030896314,40.23309378071325,1.0486869841710136
57,alpha_57,0.15426684478842437,0.5065588892651608,0.21480970338049254,-1.060141112825389,0.8033568533738252,27.468401866847536,1.0621480939907197
58,alpha_58,-0.23842525435216824,0.3902656852115812,-0.16302953816027826,-0.9730292966473107,0.2530590196729856,25.19458729267577,1.068069852661613
59,alpha_59,-0.02150365623281607,0.4673974875374581,0.06723387516889587,-0.9686869129993423,0.5535253796518359,10.44712491584644,1.1535155991691495
60,alpha_60,-0.05406146252403178,0.40968858596018803,-0.045081578983868165,-0.6966233715061022,0.6207430294421046,15.261415055698524,1.1029468103220343
61,alpha_61,0.006994640971198784,0.47096407092049464,0.058746867580838705,-1.0308525545400897,0.6172961386922069,28.20274102607737,1.0632576172238892
62,alpha_62,-0.09169536945514867,0.32351484094314276,-0.04182649346638556,-0.5256643824872937,0.44934277590546384,60.078348331054,1.0375767805071408
63,alpha_63,0.04960837477606359,0.39587271188384243,0.06228563607942689,-0.5874416188493568,0.6609804691603648,4541.098149203535,0.9993935710900665
64,alpha_64,-0.16439634775573372,0.46582146395664153,-0.07052103080105337,-1.03703951015642,0.4572554127949851,37.499398086577564,1.0519370409610416
65,alpha_65,-0.04237058236840013,0.4441973002891072,0.0432054028234386,-0.9711013900430339,0.5062455058040672,35.005018568712586,1.0541584313685441
66,alpha_66,0.3263448343537385,0.22948149996487696,0.3532417682378851,0.14484147672789424,0.5799216029731785,3369.5444528806297,1.0061899131959975
67,alpha_67,-0.022940532693753967,0.4434068132978615,-0.018134654632255463,-0.6796907284832229,0.7707505484622696,5.885311807989873,1.3168231660689633
68,alpha_68,-0.21077076399128838,0.39303397916650257,-0.1481528504283567,-0.9896725770676492,0.3260665990733975,70.49639643299666,1.0379584954793921
69,alpha_69,-0.09584681571916195,0.3890790089978879,-0.02767935067182894,-0.9629585362815243,0.386463938302356,58.680034779247784,1.0402529544092254
70,alpha_70,0.2641830280007288,0.4364643153543149,0.3852123090231414,-0.6726024962527724,0.8349637202770338,348.3902128949982,1.0174051112202807
71,alpha_71,-0.0764604791924733,0.42554815439219396,-0.003456568679439477,-0.9544075433305934,0.46441120967996086,91.04887130906363,1.030635598009662
72,alpha_72,-0.1414316268206293,0.3555632620759976,-0.07658564601540174,-0.9514158593755183,0.2805346199576681,59.88941461369892,1.0351941936895386
73,alpha_73,0.16611115610393543,0.42288902022374275,0.1882405381063617,-0.3852224447096505,0.8811830606243849,586.0908334272484,1.0184593079851656
74,alpha_74,0.04956737151621901,0.42604153256077243,0.061728851509105634,-0.5690136450620656,0.7645985332807258,16.22194398681931,1.0976964962073332
75,alpha_75,-0.02354987770025649,0.4455772159241298,0.06535587886911655,-0.9798204393699772,0.5431891077241774,3357.7763771207487,1.0072261665880713
76,alpha_76,-0.0963992984486825,0.4297758736748378,-0.042506782335627324,-0.71869748739404,0.7297202133288127,1061.8372705405795,1.0126723427662172
77,alpha_77,0.3317366206221571,0.38637257386966267,0.39936531194195557,0.028651597564028297,0.8344382553117365,338.2979368495083,1.0184577713750624
78,alpha_78,0.14880049918779065,0.41396895387530375,0.1797376947774446,-0.48987596457771143,0.8124865463248069,8.040274621552356,1.207249093984074
79,alpha_79,0.3351820177180813,0.3383473127019457,0.3496004805028661,-0.17750130452596732,0.8410055315875076,4093.7040711170876,1.0026031993300886
80,alpha_80,-0.024133284188202323,0.3551850266089608,0.041493329131630036,-0.3650459126158977,0.4843455433433481,4287.2038949024945,1.0024843397697094
81,alpha_81,0.19921900543410542,0.41838858891580843,0.22019964708252837,-0.41109456725515375,0.8709386115291058,40.86015121558476,1.0481504756960023
82,alpha_82,-0.07700247275210173,0.4516432209161187,-0.04335480927937277,-0.8068998408967348,0.6978909169052078,22.650895730345443,1.0749128287380674
83,alpha_83,-0.3119181261831225,0.4257461346860551,-0.2104217989711245,-1.0117134384403481,0.2818242082821597,282.0801045909568,1.0213079345158287
84,alpha_84,-0.19674930664946882,0.473655903411417,-0.10700977255125639,-1.0493553306286738,0.4504872208063178,42.75013344725225,1.0458373764082443
85,alpha_85,0.21856007152686835,0.26975414206896453,0.2521711750445135,-0.02604712095635309,0.5644189736698307,80.82982462114948,1.031301931279395
86,alpha_86,0.04029345297735447,0.45562810989370645,0.1206286895523703,-1.0001913195990346,0.6157834382104607,99.05133125425402,1.0286047639277165
87,alpha_87,-0.22975545079965043,0.2989192278669884,-0.21005325574003017,-0.6708327870564937,0.3088406144716077,46.63304531531387,1.0424502458115839
88,alpha_88,0.07372342959565147,0.39092269096516147,0.07569770671448371,-0.5522643151504071,0.6985020864321692,3986.742364184074,0.9996968404589449
89,alpha_89,-0.02501221204935665,0.42199063091558325,0.0612568580138223,-0.8844404487147365,0.6019403958516459,402.3748488763803,1.0183630854714867
90,alpha_90,-0.05105548629547378,0.4840463830661663,0.03861798262803699,-0.9993543754318822,0.6008143850076965,16.18247128594629,1.0990485000489267
91,alpha_91,0.24452436043697262,0.368648283018639,0.3345235104077678,-0.01105841613154927,0.6910211241719104,78.37988036246111,1.036260810004266
92,alpha_92,0.26425102614401647,0.3174431621861845,0.3078699188740167,-0.04870391723148733,0.6783375404510529,45.24314297736181,1.0458241906535701
93,alpha_93,-0.19646617245211676,0.41761937388725195,-0.12983486131445615,-0.9843196148563681,0.33889386993165466,18.775757810237724,1.0897005625956897
94,alpha_94,-0.009325105848649587,0.39831584892077004,-0.005293639518955179,-0.6007541351189976,0.6645988024427429,3543.926203603712,1.0019821806276181
95,alpha_95,0.1915318104389153,0.3337505479746463,0.20189679373488467,-0.2519952627719039,0.6990550212660946,24.77672271952451,1.0689264156301408
96,alpha_96,-0.20825320890301155,0.42664351987221516,-0.1680406699985634,-1.042979289118672,0.4069710668872078,16.118406272646173,1.1009424872419524
97,alpha_97,-0.12594988041876748,0.44760691415339643,-0.032086280252885915,-0.9957314673852761,0.4218296478607336,543.8916111347072,1.019494998209186
98,alpha_98,0.33368888522529366,0.24910894936843755,0.3664625427597654,0.11990743020087813,0.6169493514077173,64.9779540816207,1.0367398414303537
99,alpha_99,-0.20195704204098627,0.36242211537363206,-0.1750698141467974,-0.7636387292017188,0.4027396576176806,18.53232702622832,1.0875827374173692
100,alpha_100,0.06630516056417662,0.4103286521279737,0.11174528290997038,-0.45506159252420253,0.8017960150579473,27.37691391618177,1.066959081541284
101,alpha_101,0.14404101701825814,0.43468268143270095,0.1599509379705315,-0.5044190759797511,0.8271989582092973,30.438494586280736,1.0579323770027698
102,alpha_102,0.007553030004181751,0.39995891985666765,0.09284684060961752,-0.9290471209798036,0.4975925840243888,3519.1723048705053,1.0068570876187588
103,alpha_103,0.4514153308100181,0.2730958458147879,0.4850895967263366,0.22209623014020338,0.7464207585169447,58.9949210638744,1.0368298321744769
104,alpha_104,-0.16871662965018736,0.3748454116471356,-0.12591939316202005,-0.7028943308645775,0.49557490333627796,74.80846704182817,1.0355105031006473
105,alpha_105,0.0865714863605333,0.4446989285058908,0.11395764621797067,-0.5623440413128358,0.8159228464250864,21.900338453460435,1.0736959278510854
106,alpha_106,0.03699577671974155,0.41830602126846017,0.10131727861461798,-0.9623430865575868,0.5372120725004366,34.07966014611713,1.0583891320375112
107,alpha_107,0.23668976313972956,0.4033715761566977,0.2485702348065826,-0.30792449367084923,0.9179609779668105,3786.731222877887,1.0010307038257213
108,alpha_108,-0.1910779764712391,0.468951636810231,-0.1174499008627343,-1.0244976336465539,0.4653980021983307,15.16013218477047,1.1064047891822026
109,alpha_109,0.24024839377539026,0.26451902525584803,0.2782011404101956,0.03837583216301259,0.5078387289728836,4180.502108167694,1.0002857587168759
110,alpha_110,0.11608055664891961,0.4139938204410364,0.11993822103559887,-0.48918113154631593,0.780947374902736,19.934341541416252,1.0830003741543788
111,alpha_111,0.189692698369869,0.2818457392542354,0.2342694580723447,-0.01655007851153753,0.48832236904499865,4347.560472544064,1.000613459911181
112,alpha_112,-0.12174273905041137,0.47746294142965257,-0.06875107027093276,-1.0743278939965113,0.5349003483148138,14.230869727202737,1.1162586699612982
113,alpha_113,0.04208748193286396,0.3995374014167499,0.07213396808610058,-0.5539406487958325,0.7169222626363557,12.09821031767568,1.1310507328915842
114,alpha_114,0.034820971070949884,0.4998894856506567,0.12009036607537305,-0.9813769790359,0.6684964814074412,28.317445897019702,1.064113003977153
115,alpha_115,-0.15046446995871582,0.4292671529790729,-0.07735409027866079,-0.9994643436188395,0.4441663787614751,1065.2903158625832,1.0130468620389523
116,alpha_116,0.11270524821036765,0.31303527178325,0.18150242508931302,-0.08232026325843637,0.4867275933174006,3774.161000901086,1.004586339684301
117,alpha_117,-0.10072212485082055,0.48629308494456264,-0.035963355476800934,-1.045526883332406,0.5700931235374723,10.96641200006835,1.1475288741958194
118,alpha_118,-0.12694771147086278,0.3837397698653602,-0.11578771677372511,-0.6913124916677588,0.534490431739774,25.398857914392387,1.0685347179255085
119,alpha_119,0.048003215172807305,0.3934353086019759,0.054670728582102215,-0.5477030666975928,0.6904401573189937,3950.4135956809782,0.9997742897286175
120,alpha_120,0.25690046380880277,0.29274299757864153,0.3031982288860401,0.02466938244930773,0.6220930411523024,24.83589116081294,1.0678608274785752
121,alpha_121,0.2039159907873029,0.43163493656257773,0.23039576486672997,-0.3577569982008085,0.9723506003594791,10.210018560578005,1.1574476013995458
122,alpha_122,0.17803755163908044,0.2566540079426349,0.21298495678416,-0.0461888716850079,0.4546781099228635,3206.8055102410044,1.0044947554728274
123,alpha_123,-0.18533807846423686,0.43254995415422876,-0.07168593303958876,-0.9796506167267861,0.3263394086082885,111.77014272427115,1.0274926514052753
124,alpha_124,-0.1963412382205187,0.47004055803745753,-0.12781468474971946,-1.0354544274046542,0.48374038271922243,14.869717011115158,1.1076001810494456
125,alpha_125,0.16108103188134762,0.32512831964290045,0.23404133305464694,-0.08263604855630637,0.5599937464982966,76.92901808573927,1.0348037674650923
126,alpha_126,-0.24573077693559384,0.4326578356402892,-0.132563229503269,-1.000863830932647,0.2989025923593095,714.7909915688901,1.0164419330033903
127,alpha_127,-0.013062352028667738,0.4766085632639516,0.06403344813403619,-0.984305188071454,0.6104447548947173,32.049711307350876,1.0565711380191547
128,alpha_128,-0.11751576831642149,0.44830990252348024,-0.06288805814155057,-1.0330040567169625,0.5042555540445974,45.127194992679335,1.0435589283233768
129,alpha_129,-0.180347707223763,0.4392968133551723,-0.08470541394842152,-1.0012459406979477,0.38365725169878334,43.954781577419794,1.0458630170235796
130,alpha_130,0.088136178219747,0.3405436377966698,0.11231220953207971,-0.28496506570882874,0.6142385245233702,2369.4710254096763,1.0090723921028726
131,alpha_131,-0.09445578934245358,0.38714241950212025,-0.03073558842595246,-0.9644266074940554,0.38551176940338366,38.55527221530084,1.0527425517774518
132,alpha_132,-0.14135655664622995,0.4598391884001309,-0.055820859521709926,-1.0226865615370482,0.4772223888059305,30.060161095713795,1.0597542190272882
133,alpha_133,-0.3864527667500169,0.4348658669204042,-0.29711930557106847,-1.0729114735296208,0.22507642478772127,19.213786756085234,1.0872280076387761
134,alpha_134,-0.19281933542563715,0.4144159480057591,-0.12250263381550142,-1.027523229238814,0.36774109012116324,1898.2551268656275,1.0098472093906714
135,alpha_135,-0.05797279452611277,0.4168027296926301,0.0031256411917375275,-0.9483067744592834,0.4799715161187865,14.659837926390992,1.1104190871896182
136,alpha_136,0.11657379877038289,0.3089175316019237,0.17697273466989802,-0.09774778401776349,0.46841731395404806,124.62633369445783,1.0253864613393546
137,alpha_137,-0.09014381652135346,0.4442055075801426,-0.004640864608169387,-0.9893979828205867,0.47571115633358046,47.061444500815234,1.0452307354626416
138,alpha_138,-0.1679564495652739,0.4251176395868457,-0.05335013638518165,-0.9609254937794711,0.3390490650215205,2366.6733366200365,1.0111065464892
139,alpha_139,0.0672271461553619,0.44771488314710717,0.15516646033742584,-0.9835199638809181,0.6114325030439102,453.12035343320315,1.0168478045593183
140,alpha_140,-0.007321868967315553,0.202138361459727,0.003924946756416004,-0.25891971270912084,0.2943298907463738,132.4109542565889,1.0238053418700857
141,alpha_141,0.18093853684489122,0.48197176266801284,0.2953246707001608,-0.9576232492878649,0.7024775477449268,48.179488487536176,1.043947580859262
142,alpha_142,-0.0883098299299084,0.37391488298061254,-0.08640228945835865,-0.6364128724638481,0.5325288521146946,29.657400364979928,1.0609994652457964
143,alpha_143,-0.15576954219529685,0.4508518945176864,-0.07058762049044769,-1.0178285034590353,0.43682905732962807,36.21492903417971,1.0545520715384664
144,alpha_144,-0.32387603612525034,0.4048392453013471,-0.2703586028804218,-1.0114949060732874,0.23329786134603983,12.913466561989509,1.1216421633844595
145,alpha_145,-0.048767672989401184,0.4692997201325258,0.036200206136600244,-1.0306133836319187,0.5475693291503037,44.463841314976904,1.043894342741814
146,alpha_146,0.1827244402000869,0.40855579927828073,0.23686155653337806,-0.336576913726786,0.817379794069814,529.1919131148749,1.016548139931267
147,alpha_147,0.019499405127317144,0.45576191765309093,0.07674310093606404,-0.7226180862760334,0.7676616730945022,10.766227473075334,1.1473914144795172
148,alpha_148,0.09063185942527838,0.4082017627082147,0.15542901892017416,-0.4379105333944218,0.6858702452068292,3456.94657874833,1.0054328076142733
149,alpha_149,0.3402354798347334,0.23093992411097286,0.3677239557047026,0.13534049514941396,0.5857876849366529,3139.914898309842,1.0099230790872928
150,alpha_150,-0.2137382278645898,0.4563930522281546,-0.17325159133028575,-1.0272310307270627,0.5054553786833756,12.22068771277706,1.1306679361585446
151,alpha_151,-0.09774473608943847,0.44069334928473725,-0.0010615658018025883,-0.9927144104977151,0.4594579925462407,154.3668438260636,1.025634560702042
152,alpha_152,0.0919164076527141,0.3984464175451265,0.12438094438782366,-0.4676601236043569,0.7440155394831749,11.818005726078775,1.1377040703992327
153,alpha_153,-0.2197797539667067,0.4377105533516142,-0.12212645933355551,-1.0102439518236717,0.3631580097333675,108.87295738077061,1.0275947653071953
154,alpha_154,0.2507472928067047,0.30546319058412685,0.3066298549863541,0.0792952931594303,0.5748311772937774,4259.506295874562,1.0003195437034484
155,alpha_155,0.06436513910494457,0.45337233068955085,0.0937355425273999,-0.6392352398674442,0.8105214911945297,12.69073063465899,1.1242834554522667
156,alpha_156,-0.2655582822577635,0.4447446373919363,-0.2038899121712703,-1.1267425317430395,0.3532479876300994,223.3010857718302,1.0222833076147086
157,alpha_157,0.09690823620408545,0.28999023876901603,0.1401435465127512,-0.17629056550310246,0.5119150269282309,52.69093591363968,1.0388571042129187
158,alpha_158,0.11063691391956679,0.3971560989636698,0.1322659960022864,-0.49240210933883904,0.7455638236248945,4244.765849152995,1.0017137256688047
159,alpha_159,0.06728155556055726,0.3129016462406967,0.06468891133261187,-0.40523409406108724,0.5491403046399428,4057.9230442126304,1.0003525954884434
160,alpha_160,-0.03673027875884095,0.4783387319983862,0.06468706413224667,-0.9970221986789523,0.5830042996604272,126.42276903434545,1.0260684923854788
161,alpha_161,0.038739781260436125,0.44917050603741326,0.07760898324849858,-0.6755432068709325,0.7716269113709441,15.137429470477466,1.1044696426804748
162,alpha_162,0.06942596353298693,0.44375455136672515,0.1925526179165554,-0.9564737283316697,0.5550677642909184,3267.555731499061,1.0021494402208468
163,alpha_163,0.0698429904458506,0.3920375858804219,0.07319844168120992,-0.5780854685870346,0.663342294163213,4230.036207241731,0.9994684161910081
164,alpha_164,0.0341405038968582,0.24116338568339457,0.06556788453619489,-0.16435361497047163,0.30051154592126483,4608.022956307189,1.0014395766479778
165,alpha_165,0.05380108398964711,0.4207628413459619,0.07285036085047274,-0.5845189698636387,0.7450750252804323,23.33562057614194,1.0729572310933897
166,alpha_166,0.1850983338768447,0.31734673625281257,0.25188387842686233,-0.04906775369545833,0.5659939572884422,1384.3951050895332,1.0133986908408006
167,alpha_167,-0.04825161857325225,0.3562302677018915,-0.03865899415699636,-0.6154215131275199,0.4960816190705629,4048.20063700897,1.0016863176872666
168,alpha_168,-0.0764628429020083,0.3303043340358389,0.002436061213541219,-0.8740487896599967,0.31989941284457096,162.26461203181182,1.025715576413876
169,alpha_169,0.053882181869817775,0.42464532703398333,0.13215230827152907,-0.7614700403044979,0.7361301168095722,144.69130045304138,1.0265204625385085
170,alpha_170,-0.05438292119833956,0.44843389935939854,0.04603131272156884,-0.9729798343523255,0.4827807553324108,1982.3715812040064,1.0106206237694393
171,alpha_171,0.08860785229801213,0.39425997441127497,0.09009740264832601,-0.46624658741615144,0.7596668361830663,4327.836860851029,1.001813626906641
172,alpha_172,0.09303431335033457,0.5009291863761848,0.15116505849170098,-0.9799783018014988,0.8008259564527608,12.985987733723857,1.1246921822301514
173,alpha_173,-0.06410414886480527,0.44343720114275437,0.0454707056329465,-0.9570090474749223,0.46053860122192797,2602.667236193514,1.0094260717006533
174,alpha_174,-0.07023824495055404,0.37530810504705286,-0.006994840063467553,-0.5499393963240099,0.597552865560454,36.330046170657795,1.0521236748226523
175,alpha_175,0.27877736313981827,0.31728712929082264,0.3402348593895882,0.07241422516772812,0.5756872578851475,3768.65517769067,1.0058761107653875
176,alpha_176,0.011869438582149403,0.4783859429246216,0.07978219763043948,-0.9971944023241213,0.6050279006129035,25.984890074594894,1.0707981244605767
177,alpha_177,0.12559039257980611,0.37182749495719664,0.19230514903679147,-0.2673430104162954,0.6808136604844404,1711.8624576259301,1.014118875400329
178,alpha_178,-0.0382175593364482,0.43090063559367914,0.0051723996063669534,-0.665111311348106,0.7416595510989723,39.94118819335033,1.0498423840304294
179,alpha_179,-0.05062139491395487,0.4445376211393349,0.0012652481508154808,-0.7770358783946992,0.7875510986396633,477.0825034917918,1.0169538110188665
180,alpha_180,-0.03456550036419704,0.4676376221209648,0.05309681238770814,-1.0030842964928375,0.5716765425169514,78.80382938498524,1.0355586159856884
181,alpha_181,0.010625234977289942,0.3616004813984964,0.07075623232651176,-0.4700394724657839,0.6261681729261251,21.55858974390931,1.0760980608465798
182,alpha_182,-0.24636692890647344,0.39735605853390393,-0.18493534441415663,-1.0110586735445728,0.28833248898423064,35.72376048352754,1.0515498280259272
183,alpha_183,0.3023760509972938,0.32592637182205597,0.3245015640865928,-0.17797953900200927,0.7703586738942738,419.24172477564593,1.0177799218877097
184,alpha_184,0.12094314866217112,0.4177385891562378,0.14057536123296593,-0.49403375548863304,0.8038052177924592,33.52294065065392,1.0522402452787578
185,alpha_185,0.15184297195071836,0.2976650047733182,0.20506231676964445,-0.05607585130426484,0.5115496673807007,3299.4675054623285,1.0046501187963803
186,alpha_186,-0.013488984856108098,0.3501090084895933,0.03865588447877462,-0.410920428399154,0.5362736581798077,2077.57944000024,1.0103947256492978
187,alpha_187,-0.09537070219044678,0.469326743449796,-0.024848117119467217,-1.0207351197878876,0.5681875616473926,42.12728591527165,1.0483883106371243
188,alpha_188,-0.1441607827105675,0.47966217254328175,-0.12858153411006185,-1.0364524121816727,0.6174031358387753,6.299575684071895,1.2817189669847988
189,alpha_189,0.14810496672932294,0.2630103528002213,0.18235792602454665,-0.07173752608670927,0.45383689361463353,2198.2498516811847,1.012577844461971
190,alpha_190,0.16886311598122797,0.3830280284005686,0.17427911899558318,-0.38543819957951114,0.8180836570781561,4444.649878703222,1.000005783003168
191,alpha_191,0.05896746790825499,0.3988611056871089,0.10450799510239579,-0.47555159586711954,0.6769985438134213,3467.1254086297317,1.0061491696611349
192,alpha_192,-0.19942557373882416,0.48294100000388207,-0.0972923261657524,-1.0306636104112439,0.45936282601266987,31.94677731435471,1.0577771923654646
193,alpha_193,-0.03262286815195375,0.4723588455931394,0.00446012392855494,-0.7918642902476691,0.8379698162659553,14.137051768701841,1.1135835174246602
