*sample_name	*organism	breed	dev_stage	*collection_date	*geo_loc_name	*sex	*tissue	collected_by	specimen_voucher	lat_lon	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
AUHT 7962	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7962	30.548191 N 86.930668 W	AUHT 7962	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac016_R1_.fq	kac016_R2_.fq
AUHT 7974	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7974	32.814696 N 86.939677 W	AUHT 7974	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac038_R1_.fq	kac038_R2_.fq
AUHT 7975	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7975	32.810938 N 86.989673 W	AUHT 7975	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac039_R1_.fq	kac039_R2_.fq
AUHT 7976	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7976	32.809854 N 86.997946 W	AUHT 7976	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac040_R1_.fq	kac040_R2_.fq
AUHT 7978	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7978	32.824061 N 86.993138 W	AUHT 7978	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac042_R1_.fq	kac042_R2_.fq
AUHT 7979	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7979	32.824061 N 86.993138 W	AUHT 7979	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac043_R1_.fq	kac043_R2_.fq
AUHT 7980	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7980	32.804496 N 87.030779 W	AUHT 7980	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac044_R1_.fq	kac044_R2_.fq
AUHT 7981	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7981	32.767027 N 87.070731 W	AUHT 7981	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac045_R1_.fq	kac045_R2_.fq
AUHT 7982	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7982	32.765918 N 87.071843 W	AUHT 7982	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac046_R1_.fq	kac046_R2_.fq
AUHT 7983	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7983	32.78932 N 86.908503 W	AUHT 7983	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac047_R1_.fq	kac047_R2_.fq
AUHT 7984	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7984	32.735748 N 86.881494 W	AUHT 7984	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac048_R1_.fq	kac048_R2_.fq
AUHT 7985	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7985	32.732909 N 86.877073 W	AUHT 7985	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac049_R1_.fq	kac049_R2_.fq
AUHT 7986	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7986	32.748216 N 86.798059 W	AUHT 7986	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac050_R1_.fq	kac050_R2_.fq
AUHT 7987	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7987	32.787421 N 86.758471 W	AUHT 7987	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac051_R1_.fq	kac051_R2_.fq
AUHT 7988	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 7988	32.780439 N 86.73877 W	AUHT 7988	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac052_R1_.fq	kac052_R2_.fq
AUHT 8006	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8006	34.799628 N 84.576776 W	AUHT 8006	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac070_R1_.fq	kac070_R2_.fq
AUHT 8007	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8007	32.434779 N 85.6463 W	AUHT 8007	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac071_R1_.fq	kac071_R2_.fq
AUHT 8010	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8010	30.7743 N 85.2269 W	AUHT 8010	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac074_R1_.fq	kac074_R2_.fq
AUHT 8011	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8011	32.94778 N 86.632244 W	AUHT 8011	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac075_R1_.fq	kac075_R2_.fq
AUHT 8012	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8012	32.949704 N 86.526874 W	AUHT 8012	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac076_R1_.fq	kac076_R2_.fq
AUHT 8013	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8013	32.949704 N 86.526874 W	AUHT 8013	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac077_R1_.fq	kac077_R2_.fq
AUHT 8014	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8014	33.002665 N 86.389597 W	AUHT 8014	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac078_R1_.fq	kac078_R2_.fq
AUHT 8015	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8015	33.012055 N 86.478723 W	AUHT 8015	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac079_R1_.fq	kac079_R2_.fq
AUHT 8016	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8016	33.044558 N 86.455469 W	AUHT 8016	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac080_R1_.fq	kac080_R2_.fq
AUHT 8017	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8017	33.044558 N 86.455469 W	AUHT 8017	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac081_R1_.fq	kac081_R2_.fq
AUHT 8018	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8018	33.044558 N 86.455469 W	AUHT 8018	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac082_R1_.fq	kac082_R2_.fq
AUHT 8019	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8019	33.044558 N 86.455469 W	AUHT 8019	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac083_R1_.fq	kac083_R2_.fq
AUHT 8020	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8020	33.044558 N 86.455469 W	AUHT 8020	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac084_R1_.fq	kac084_R2_.fq
AUHT 8021	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8021	33.044558 N 86.455469 W	AUHT 8021	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac085_R1_.fq	kac085_R2_.fq
AUHT 8022	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8022	33.044558 N 86.455469 W	AUHT 8022	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac086_R1_.fq	kac086_R2_.fq
AUHT 8023	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8023	33.014843 N 86.390403 W	AUHT 8023	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac087_R1_.fq	kac087_R2_.fq
AUHT 8025	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8025	33.014843 N 86.390403 W	AUHT 8025	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac089_R1_.fq	kac089_R2_.fq
AUHT 8026	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8026	33.064717 N 86.474958 W	AUHT 8026	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac090_R1_.fq	kac090_R2_.fq
AUHT 8027	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8027	33.064717 N 86.474958 W	AUHT 8027	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac091_R1_.fq	kac091_R2_.fq
AUHT 8028	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8028	33.064717 N 86.474958 W	AUHT 8028	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac092_R1_.fq	kac092_R2_.fq
AUHT 8029	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8029	33.064717 N 86.474958 W	AUHT 8029	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac093_R1_.fq	kac093_R2_.fq
AUHT 8030	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8030	33.064717 N 86.474958 W	AUHT 8030	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac094_R1_.fq	kac094_R2_.fq
AUHT 8031	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8031	33.064717 N 86.474958 W	AUHT 8031	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac095_R1_.fq	kac095_R2_.fq
AUHT 8032	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8032	33.064717 N 86.474958 W	AUHT 8032	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac096_R1_.fq	kac096_R2_.fq
AUHT 8033	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8033	33.064717 N 86.474958 W	AUHT 8033	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac097_R1_.fq	kac097_R2_.fq
AUHT 8034	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8034	33.025724 N 86.467107 W	AUHT 8034	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac098_R1_.fq	kac098_R2_.fq
AUHT 8035	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8035	33.025724 N 86.467107 W	AUHT 8035	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac099_R1_.fq	kac099_R2_.fq
AUHT 8036	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8036	32.923743 N 86.671995 W	AUHT 8036	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac100_R1_.fq	kac100_R2_.fq
AUHT 8037	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8037	33.032829 N 86.459752 W	AUHT 8037	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac101_R1_.fq	kac101_R2_.fq
AUHT 8038	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8038	32.945435 N 86.557771 W	AUHT 8038	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac102_R1_.fq	kac102_R2_.fq
AUHT 8039	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8039	32.94947 N 86.526299 W	AUHT 8039	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac103_R1_.fq	kac103_R2_.fq
AUHT 8040	Anaxyrus terrestris	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8040	32.94947 N 86.526299 W	AUHT 8040	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac104_R1_.fq	kac104_R2_.fq
AUHT 8041	Anaxyrus americanus	Not Applicable	Adult	2022-06	USA	not provided	Liver	Kerry Cobb	AUHT 8041	33.042782 N 86.453772 W	AUHT 8041	ddRADseq from Anaxyrus americanus and A. terrestris hybrid zone	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina HiSeq X	Double digest RADseq library prepared using 2RAD method	fastq	kac105_R1_.fq	kac105_R2_.fq
